#,School Name,District,Block Name,UDISE ID
108336,UPS BETHER COMPOSITE 1 TO 8,UNNAO,SIKANDERPUR KARN,9261104405
108337,UPS BEVAL BASANTPUR,BAREILLY,BHUTA,9200302902
108338,UPS BEWAL,RAE BARELI,CHHATOH,9282402003
108339,UPS BHABHAURA,HAMIRPUR (U.P.),SUMERPUR,9380203602
108340,UPS BHADASA,KANPUR NAGAR,SARSAUL,9340101202
108341,UPS BHADAULI,KANPUR NAGAR,PATARA,9341011201
108342,UPS BHADAURI ASARFPUR,BULANDSHAHR,UCHAGAON,9110507101
108343,UPS BHADAWAN (COMPOSITE),JALAUN,JALAUN,9350200205
108344,UPS BHADAWN,BANDA,KAMASIN,9400702305
108345,UPS BHADAYEE,ETAWAH,SAIFAI,9310605302
108346,UPS BHADEHA KALINGER,BANDA,NARAINI,9400404406
108347,UPS BHADEHDOO,BANDA,BISANDA,9400603503
108348,UPS BHADESAR,KAUSHAMBI,SIRATHU,9440313101
108349,UPS BHADEVAN,SITAPUR,HARGAON,9240509602
108350,UPS BHADFAR COMPOSITE(1 to 8),SITAPUR,BEHTA,9240200403
108351,UPS BHADHERA,ETAH,SHEETAL PUR,9171300603
108352,UPS BHADIYAPURA TISUAADEV,ETAWAH,BASREHAR,9310308621
108353,UPS BHADKI,ETAH,ALIGANJ,9170114902
108354,UPS BHADMARA COMPOSITE(1 to 8),SITAPUR,REUSA,9241711102
108355,UPS BHADOKHAR,RAE BARELI,RAHI,9280104004
108356,UPS BHADOUSI,KANNAUJ,UMARDA,9300206403
108357,UPS BHADPURA,BAREILLY,BHUTA,9200313402
108358,UPS BHADRAS,KANPUR NAGAR,GHATAMPUR,9340900103
108359,UPS BHADREKHI,JALAUN,KADAURA,9350300604
108360,UPS BHADSAR NAUSHEHARA COMPOSITE 1 TO 8,UNNAO,FATEHPUR 84,9260301804
108361,UPS BHADSHA,MAU,KOPAGANG,9620904603
108362,UPS BHADUA COMPOSITE 1 TO 8,UNNAO,MIYAGANJ,9260611403
108363,UPS BHADUIYA MUTH,ETAH,ALIGANJ,9170113002
108364,UPS BHADUR GARI ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,ATRAULI,9120301402
108365,UPS BHADURPUR,FIROZABAD,ARAWN,9160701003
108366,UPS BHADURPUR ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,ATRAULI,9120309602
108367,UPS BHADWAN,MAU,MOHAMMADABAD,9620205206
